operation,distribution,dataStructure,runs,height,min,max,mean,median,std,speedup
Insertion,RANDOM,BST,20,46,34850500.000,59265900.000,39962625.000,36670150.000,7298381.327,1.000000
Insertion,RANDOM,RBBST,20,19,40507600.000,54303200.000,44645190.000,44559550.000,4068388.479,0.895116
Contains,RANDOM,BST,20,46,35127000.000,122059700.000,57825015.000,47233350.000,21003749.419,1.000000
Contains,RANDOM,RBBST,20,19,39443500.000,64478900.000,48951220.000,45959950.000,7367832.705,1.181278
Deletion,RANDOM,BST,20,45,7138100.000,16622900.000,10478230.000,10182350.000,1945876.051,1.000000
Deletion,RANDOM,RBBST,20,19,7862700.000,12068200.000,11218250.000,11405850.000,948028.368,0.934034
TreeSort,RANDOM,BST,20,46,40272600.000,51475700.000,43844815.000,42620750.000,3307351.949,1.000000
TreeSort,RANDOM,RBBST,20,19,43827000.000,60450600.000,46688235.000,45394550.000,4520402.601,0.939098
Insertion,RANDOM,BST,20,40,33816500.000,37183700.000,35338020.000,35456700.000,764454.738,1.000000
Insertion,RANDOM,RBBST,20,19,37980100.000,41155500.000,39087875.000,38696700.000,993234.712,0.904066
Contains,RANDOM,BST,20,40,31316900.000,46915100.000,43613390.000,44145300.000,3108706.290,1.000000
Contains,RANDOM,RBBST,20,19,27759000.000,55155600.000,40299135.000,40109750.000,4555059.282,1.082241
Deletion,RANDOM,BST,20,40,9464700.000,20594800.000,10607255.000,10173450.000,2376440.900,1.000000
Deletion,RANDOM,RBBST,20,19,9206600.000,12180500.000,11254765.000,11375700.000,598711.197,0.942468
TreeSort,RANDOM,BST,20,40,40757600.000,65562800.000,45383660.000,43333450.000,5519844.584,1.000000
TreeSort,RANDOM,RBBST,20,19,44404000.000,62950700.000,46921950.000,45994100.000,4061971.592,0.967216
Insertion,RANDOM,BST,20,38,33792800.000,49118300.000,35967445.000,35450500.000,3182462.155,1.000000
Insertion,RANDOM,RBBST,20,19,37799600.000,48427400.000,39502655.000,38807550.000,2282447.335,0.910507
Contains,RANDOM,BST,20,38,31518900.000,59124200.000,44091650.000,43890850.000,4592446.353,1.000000
Contains,RANDOM,RBBST,20,19,28914800.000,42432700.000,40356055.000,41055600.000,2849379.620,1.092566
Deletion,RANDOM,BST,20,36,8433100.000,11421100.000,10129345.000,10058300.000,591142.030,1.000000
Deletion,RANDOM,RBBST,20,19,9584400.000,12133400.000,11195180.000,11216350.000,512979.643,0.904795
TreeSort,RANDOM,BST,20,38,41112200.000,69980200.000,44196475.000,42163150.000,6572010.061,1.000000
TreeSort,RANDOM,RBBST,20,19,44426500.000,53066500.000,45508220.000,45071700.000,1882906.005,0.971176
Insertion,RANDOM,BST,20,39,33661100.000,37778100.000,34609130.000,34439800.000,1006384.853,1.000000
Insertion,RANDOM,RBBST,20,19,37989900.000,49179600.000,39815580.000,39633350.000,2407706.587,0.869236
Contains,RANDOM,BST,20,39,31459100.000,47885100.000,43427445.000,44099600.000,3187136.439,1.000000
Contains,RANDOM,RBBST,20,19,31219300.000,46278300.000,40613650.000,40955050.000,2714601.346,1.069282
Deletion,RANDOM,BST,20,38,7740300.000,10538200.000,10012305.000,10139750.000,611058.895,1.000000
Deletion,RANDOM,RBBST,20,19,9199100.000,16819900.000,11536830.000,11379850.000,1395995.554,0.867856
TreeSort,RANDOM,BST,20,39,40108900.000,61523600.000,42698230.000,41739950.000,4543593.480,1.000000
TreeSort,RANDOM,RBBST,20,19,44419800.000,53437000.000,46596985.000,46327350.000,2453825.631,0.916330
Insertion,RANDOM,BST,20,38,33781100.000,41583700.000,35544535.000,35273000.000,1665830.701,1.000000
Insertion,RANDOM,RBBST,20,19,37636600.000,55971200.000,40123710.000,39582100.000,3836455.813,0.885874
Contains,RANDOM,BST,20,38,31242100.000,46261500.000,42216100.000,42280550.000,2903923.806,1.000000
Contains,RANDOM,RBBST,20,19,38690400.000,42420300.000,40555385.000,40547750.000,1103282.604,1.040949
Deletion,RANDOM,BST,20,38,7249100.000,10974900.000,9889200.000,9998050.000,760379.396,1.000000
Deletion,RANDOM,RBBST,20,19,9614300.000,11754100.000,11140735.000,11179400.000,473596.802,0.887661
TreeSort,RANDOM,BST,20,38,40832200.000,58989000.000,42800905.000,41691600.000,3895810.592,1.000000
TreeSort,RANDOM,RBBST,20,19,44001900.000,60350200.000,45919860.000,44919500.000,3481986.618,0.932078
Insertion,RANDOM,BST,20,39,33251700.000,36012200.000,34454405.000,34405450.000,836672.658,1.000000
Insertion,RANDOM,RBBST,20,19,37851700.000,48717600.000,39725235.000,39677050.000,2339610.336,0.867318
Contains,RANDOM,BST,20,39,33122700.000,46988100.000,43297790.000,43601800.000,2720099.786,1.000000
Contains,RANDOM,RBBST,20,19,35957600.000,41874100.000,40516820.000,41023200.000,1353357.163,1.068637
Deletion,RANDOM,BST,20,39,7971000.000,11166600.000,9822615.000,9803250.000,579299.767,1.000000
Deletion,RANDOM,RBBST,20,19,8105500.000,12179900.000,11309190.000,11515250.000,838666.459,0.868552
TreeSort,RANDOM,BST,20,39,40585100.000,46689300.000,42571275.000,42193800.000,1369238.302,1.000000
TreeSort,RANDOM,RBBST,20,19,44034400.000,49155600.000,45834555.000,45813850.000,1318982.626,0.928803
Insertion,RANDOM,BST,20,39,33350300.000,36735000.000,35010990.000,35022100.000,963002.311,1.000000
Insertion,RANDOM,RBBST,20,19,39502400.000,42655900.000,40207830.000,40044450.000,739615.799,0.870751
Contains,RANDOM,BST,20,39,29625300.000,46569300.000,42627445.000,43058150.000,3344683.032,1.000000
Contains,RANDOM,RBBST,20,19,38987700.000,42885700.000,40645540.000,41048100.000,1193636.690,1.048761
Deletion,RANDOM,BST,20,38,9519500.000,10531900.000,9957420.000,9970050.000,300766.886,1.000000
Deletion,RANDOM,RBBST,20,19,10555000.000,12029900.000,11394985.000,11377150.000,357699.070,0.873842
TreeSort,RANDOM,BST,20,39,40483900.000,72931100.000,43858140.000,41610350.000,7702432.939,1.000000
TreeSort,RANDOM,RBBST,20,19,44445500.000,47718100.000,46091350.000,46310350.000,1103894.179,0.951548
Insertion,RANDOM,BST,20,38,33424200.000,36563200.000,34488990.000,34454850.000,771592.218,1.000000
Insertion,RANDOM,RBBST,20,20,37878000.000,41385900.000,39254080.000,39351500.000,946523.252,0.878609
Contains,RANDOM,BST,20,38,30794300.000,45220100.000,43053330.000,43789200.000,3037114.201,1.000000
Contains,RANDOM,RBBST,20,20,28006500.000,41796400.000,39423800.000,39744350.000,2795359.421,1.092064
Deletion,RANDOM,BST,20,38,8807500.000,11219000.000,9989560.000,10047050.000,479434.725,1.000000
Deletion,RANDOM,RBBST,20,20,10386900.000,12260300.000,11382405.000,11478450.000,426423.195,0.877632
